pathway_id,name,category,protein_count,pct_total
map05120,Epithelial cell signaling in Helicobacter pylori infection,Human Diseases,56,0.45
map05160,Hepatitis C,Human Diseases,55,0.44
map04713,Circadian entrainment,Organismal Systems,54,0.43
map04971,Gastric acid secretion,Organismal Systems,54,0.43
map04550,Signaling pathways regulating pluripotency of stem cells,Cellular Processes,54,0.43
map04920,Adipocytokine signaling pathway,Organismal Systems,54,0.43
map04924,Renin secretion,Organismal Systems,54,0.43
map05224,Breast cancer,Human Diseases,53,0.43
map00480,Glutathione metabolism,Metabolism,53,0.43
map04624,Toll and Imd signaling pathway,Organismal Systems,53,0.43
map04668,TNF signaling pathway,Environmental Information Processing,53,0.43
map05031,Amphetamine addiction,Human Diseases,53,0.43
map05162,Measles,Human Diseases,53,0.43
map01522,Endocrine resistance,Human Diseases,53,0.43
map04666,Fc gamma R-mediated phagosome formation,Organismal Systems,52,0.42
map05226,Gastric cancer,Human Diseases,52,0.42
map05132,Salmonella infection,Human Diseases,51,0.41
map04916,Melanogenesis,Organismal Systems,51,0.41
map05142,Chagas disease,Human Diseases,51,0.41
map05131,Shigellosis,Human Diseases,51,0.41
map04721,Synaptic vesicle cycle,Organismal Systems,51,0.41
map00020,Citrate cycle (TCA cycle),Metabolism,50,0.4
map05110,Vibrio cholerae infection,Human Diseases,48,0.39
map04012,ErbB signaling pathway,Environmental Information Processing,48,0.39
map00620,Pyruvate metabolism,Metabolism,48,0.39
map04720,Long-term potentiation,Organismal Systems,47,0.38
map04138,Autophagy - yeast,Cellular Processes,47,0.38
